District,Rooms,Price,Area,Floor_Number,Total_Floors,Is_First_Floor,Is_Last_Floor,Has_Gas,Has_Tec,Construction_Type,Construction_Year,Has_Garage,Is_Closed_Complex,Description,Url
Дружба 1,2,199000,62,2,5,0,0,0,0,Тухла,2025,1,0,"Монс Пропъртис има удоволствието да Ви представи за продажба двустаен обзаведен апартамент в гр. София. кв. 'Дружба 1' . Имотът е с обща площ от 62 м2., като ЗП е 55 м2. Ситуиран е на втори етаж от пететажна тухлена сграда, построена през 2025г. Разпределението е както следва: коридор, всекидневна с кухненски бокс, спалня, баня с тоалетна и тераса. Отоплението е посредством електричество. Апартаментът се продава обзаведен, готов за нанасяне и напълно оборудван с всичко необходимо за едно домакинство. Има възможност за закупуване на подземен двоен гараж. В сградата се продават автентични апартаменти на трети и четвърти етаж. Предимства на имота: ново строителство, модерна сграда с асансьор, светли помещения, спокойна среда. Удобства наблизо: магазини, аптеки, детски градини и училища, зелени площи и места за отдих. Транспорт: бърз достъп до градски транспорт и основни булеварди; отлично място за динамичен градски живот. Квартал Дружба 1 предлага бърз достъп до метро, трамвай и автобуси, както и до Цариградско шосе и Летище София. В района има езеро и парк за разходки, детски градини, училища и разнообразни търговски обекти удобно и практично за ежедневието. Код на офертата: 0202 Ние от Монс Пропъртис можем да Ви съдействаме със следните услуги: -Безплатно посредничество при кредитиране от всички банки -Юридически услуги One-bedroom furnished apartment in town of. Sofia. 'Druzhba 1' . Mons Properties is pleased to present for sale one bedroom furnished apartment in the town of. Sofia. 'Druzhba 1' . The property has a total area of 62 m2., the floor area is 55 m2. It is located on the second floor of a five-storey brick building, built in 2025. The layout is as follows. Heating is by electricity. The apartment is sold furnished, ready to move in and fully equipped with everything needed for a household. There is a possibility to buy an underground double garage. The building offers authentic second, third and fourth floor apartments. Advantages of the property: new construction, modern building with elevator, bright rooms, peaceful environment. Amenities nearby: shops, pharmacies, kindergartens and schools, green areas and recreation areas. Transport: quick access to public transport and main boulevards; excellent location for dynamic city life. The Druzhba 1 district offers quick access to metro, tram and buses, as well as to Tsarigradsko Shose and Sofia Airport. The area has a lake and park for walks, kindergartens, schools and a variety of shopping facilities - convenient and practical for everyday life. 0202 We at Mons Properties can assist you with the following services: -Free credit mediation from all banks -Legal services",https://www.imot.bg/obiava-1b176224721268741-prodava-dvustaen-apartament-grad-sofiya-druzhba-1
Западен парк,2,135000,65,3,6,0,0,0,0,Панел,1970,1,0,"НЕ ПРЕДЛАГАМЕ БРОКЕРСКИ КОМИСИОН!!!!! СОБСТВЕНИК ПРОДАВА 2-СТАЕН апартамент (панел) в Западен парк до бул. Стамболийски. Етаж 3 от 6, изложение изток-запад, площ - 65 кв.м., с мазе и две тераси. Апартаментът се състои от антре, отделна кухня, остъклена тераса към кухнята, спалня, хол, остъклена тераса към хола (общо 2 тераси), отделна баня, отделна тоалетна, отделно складово помещение. Всички външни и вътрешни дограми са сменени - външните са висок клас алуминиева дограма, а вътрешните са висок клас PVC, ВиК инсталацията е сменена, щранговете са сменени. Топлоизолация на целия апартамент. Отлично поддържан вход! С изключение на дограмите, терасите, топлоизолациите и инсталациите жилището е за ремонт! Моля, брокери да не търсят комисион, ТАКЪВ НЕ СЕ ПРЕДЛАГА! За контакт - 0877666333",https://www.imot.bg/obiava-1b176918159769234-prodava-dvustaen-apartament-grad-sofiya-zapaden-park-ul-suhodolska
Зона Б,2,220974,84,3,6,0,0,0,0,Тухла,2027,1,0,"458420 Продаваме апартаменти в нова сграда, в Зона Б-5 до парк Възраждане. Просторни и функционални жилища с модерна архитектура и добре планирани пространства. БЕЗ КОМИСИОНА. ИНДИВИДУАЛНИ КОНСУЛТАЦИИ ЗА НАШИТЕ КЛИЕНТИ. ДОГОВАРЯМЕ ЦЕНАТА СПОРЕД ИЗБРАНАТА СХЕМА НА ПЛАЩАНЕ. Апартаментът, който представяме с тази оферта, се състои от антре - коридор, дневна с кухня и трапезария, спалня, баня с тоалетна и балкон. Сградата е разположена до парк Възраждане, в близост до хранителен хипермаркет и спирки на градски транспорт. Центърът на София е само на 20 минути пеша. В непосредствена близост е до основни транспортни връзки, магазини, зелени площи и популярни търговски зони. Предлагаме разнообразие от двустайни и тристайни апартаменти, както и възможност за покупка на магазини и офиси. Сградата е дело на утвърдена строителна компания с над 20 години опит в строителството, която гарантира високото качество на всички етапи от проекта. Опции за паркиране: подземни паркоместа и гаражи. ЕТАП НА СТРОИТЕЛСТВО: кота 1-ви етаж; ОТОПЛЕНИЕ: ТЕЦ; Има 1 балкон/тераса; Предава се на шпакловка и замазка; Преходен; ВИД СТРОИТЕЛСТВО: тухла; ЗАСТРОЕНА ПЛОЩ 65.43 кв.м; ПУСКОВ СРОК: 05.2027; ИЗЛОЖЕНИЕ: запад; СПАЛНИ: 1; БАНИ: 1; ДОГРАМА: PVC _________________________________________________________________________________________________ Към потенциалните продавачи! Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място. ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ. МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА.",https://www.imot.bg/obiava-1b176432547079759-prodava-dvustaen-apartament-grad-sofiya-zona-b-5
Иван Вазов,2,289800,69,3,10,0,0,0,0,Тухла,0,1,0,"Агенция Явлена продава ексклузивно просторен и светъл двустаен апартамент с топ локация на няколко метра от входа на Южния парк и 60 м от бул. Витоша . Жилището е разположено на трети етаж в монолитна тухлена сграда с два асансьора и топлоизолация по фасадите. Изцяло югоизточно изложение, вътрешен и тих, с ниски разходи за отопление (централен ТЕЦ). Апартаментът е с много функционално разпределение: дневна 22 кв.м (чиста площ), отворена към антре 8 кв.м, отделна кухня 16 кв.м (с възможност кухненският бокс да бъде преместен в дневната с минимални разходи), спалня 19 кв.м с преход от дневната,гардеробно. Към апартамента има две тераси, които са усвоени .Към имота има мазе 9 кв.м и 2,3% идеални части от сградата. Възможно е закупуване с банков кредит. (yavlenaCOM/164581).",https://www.imot.bg/obiava-1b176785954220907-prodava-dvustaen-apartament-grad-sofiya-ivan-vazov-ul-mihail-bubotinov
Захарна фабрика,2,119990,59,5,8,0,0,0,0,Тухла,1970,1,0,"СРЕДЕН ЕТАЖ !!! САНИРАН !!! ЮЖЕН !!! Хоум Ту Ю представя двустаен апартамент находящ се на ул.Кукуш , локацията е изключително стратегическа в близост до Западен парк ,както й до булевард Сливница ,което осигурява бърз достъп до всяка точка на София . В близост са училища и множество магазини за ваше удобство ,както и спирки на градският транспорт . Жилището е с функционално разпределение, а именно: коридор, просторна всекидневна с излаз към тераса, кухня, спалня и баня с WC. Сградата е с перфектно поддържани общи части ! Ако не искате да изпуснете това изгодно предложение ,побързайте и се обадете на посоченият телефон и цитирайте код : 136169",https://www.imot.bg/obiava-1b175983054047407-prodava-dvustaen-apartament-grad-sofiya-zaharna-fabrika-ul-kukush
Зона Б,2,195000,65,3,8,0,0,0,0,Тухла,2027,1,0,"На ул.Шар планина 73-Двустаен апартамент ,състоящ се от: дневна с кухненски бокс, спалня, баня с WC, склад, антре и тераса. Жилището се предава на шпакловка и замазка. Луксозни общи части ще бъдат напълно завършени. СГРАДА: Сграда с представителен външен вид. Висококачествено строителство, съобразено с всички стандарти на съвременната архитектура. Топлоизолация и хидроизолация на сградата. Четирикамерна PVC дограма. МЕСТОПОЛОЖЕНИЕ: Зелени площи, близо до църквата Св. Николай Софийски, метро и транспортни линии, Мол София. Перфектна локация и социална инфраструктура! ПРЕДИМСТВА: Tих и спокоен жилищен квартал, наличие на градинки, детски площадки и училища. Функционални разпределения, просторни помещения с правилни форми. Подходящи за живеене и инвестиция.",https://www.imot.bg/obiava-1b175879263339007-prodava-dvustaen-apartament-grad-sofiya-zona-b-5
Зона Б,2,195000,80,14,14,0,1,0,0,Тухла,2028,1,0,"Home2U представя на Вашето внимание, двустаен апартамент с възможност за ЗАВЪРШВАНЕ ДО КЛЮЧ в жилищна сграда с премиум изпълнение и функционалност , създадена с мисъл за висок стандарт на живот и дългосрочна стойност!!! Апартаментът е разположен на 14тия етаж квадратура- 80кв.м. изложение- изток/север СРОКОВЕ ЗА ИЗПЪЛНЕНИЕ НА ОСНОВНИТЕ ЕТАПИ: Акт 14 - юни 2027г. Акт 15 - август 2028г. Акт 16 - декември 2028г. ЛОКАЦИЯ: Разположена на пешеходно разстояние от центъра на София, сградата предлага изключително удобна локация с директен достъп до ключови транспортни артерии и се намира между две метростанции, осигуряващи бърза и лесна връзка с всички части на столицата. ЗА РАЙОНА: В непосредствена близост ще откриете всичко необходимо за комфортното ежедневие търговски вериги, супермаркети, училища, детски градини, здравни заведения, както и разнообразие от ресторанти, кафенета и магазини. ЗАЩО ДА ИНВЕСТИРАШ ПРИ НАС: Сигурна инвестиция, отличаваща се с изключително комуникативно разположение, модерна и функционална архитектура и високо качество на строителството, които гарантират устойчиво нарастване на стойността на имота във времето. ПЕРСОНАЛИЗИРАНО ЗАВЪРШВАНЕ: Сградата предлага и възможност за пълно завършване ДО КЛЮЧ , с използване на висок клас материали, подбрани изцяло според предпочитанията на бъдещите собственици. Възможност за закупуване на гараж на цена от 45 000 и паркомясто на цена от 30 000 ! Завършеност без компромиси- мястото, където локация, комфорт и инвестиционна стойност се срещат! За повече информация и записване на час за оглед, обадете се и цитирайте код: 136497",https://www.imot.bg/obiava-1b176848073343506-prodava-dvustaen-apartament-grad-sofiya-zona-b-19
Зона Б,2,200000,80,4,7,0,0,0,0,Тухла,0,1,0,"Агенция SUPRIMMO: www.suprimmo.bg Представяме двустаен апартамент за продажба в новострояща се бутикова жилищна сграда с ограничен брой жилища, проектирана с фокус върху комфорт, енергийна ефективност и стил. Районът осигурява спокойна жилищна атмосфера, съчетана с близост до културни обекти, заведения и метростанция 'Константин Величков' (3 минути пеша). Имотът е разположен на четвърти жилищен етаж и предлага 65.3 кв.м площ с южно изложение. Разпределение: антре; всекидневна с кухненска част; спалня; баня с тоалетна. Сградата се състои от седем етажа с общо 11 апартамента. Архитектурната визия е модерна, а всички материали, свързани с топлоизолираността отговарят на клас А по скалата за енергоспестяване. Отоплението и охлаждането в апартаментите е решено със съвременна термопомпа. Паркирането е посредством закрити паркоместа. Степен на издаване на апартаментите: настилка цименто-пясъчна замазка, стени и тавани - гипсова мазилка; санитарен възел с под с цименто-пясъчна замазка и парозамазна хидроизолация, стени и тавани на варова мазилка; тераси с настилка от мразоустойчив гранитогрес, монтирани осветителни тела, парапет от стъкло триплекс; монтирано ел.табло с предпазители, заредени ключове и контакти, фасунги, монтирана водопроводна и канализационна инсталация; монтиран домофон и изводи за телефон/интернет; Гъвкави схеми на плащане. За допълнителна информация и организиране на оглед, моля свържете се с отговорния брокер по офертата. За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. Референтен номер: SOF-132704 Тел: 0882 851 775, 02 403 82 54 Отговорен брокер:Мария Михайлова Без комисиона от купувача",https://www.imot.bg/obiava-1b175190042258733-prodava-dvustaen-apartament-grad-sofiya-zona-b-18
Зона Б,2,170900,65,4,15,0,0,0,0,Тухла,2025,1,1,"Продаваме изключително светло, двустайно ателие, находящо се в к-с 1 Home , на ул. Охридско езеро. Изложението е североизточно. Застроената площ е 54,43m2. Имоти с такова разпределение продаваме на 2-ри, 4-ти, 6-ти, 9-ти и 14-ти етажи. От 6-ти етаж нагоре се открива прекрасна гледка към централната част на града и Стара планина . Отоплението и топлата вода са предвидени да са от ТЕЦ. Налични са разводки за климатици и бойлер. В комплекса продаваме общо девет двустайни ателиета, един двустаен апартамент, четири подземни паркоместа и складови помещения. Всички имоти са собственост на фирма, различна от инвеститора. Продажните цени са с включен ДДС. Още наши оферти можете да намерите на www.universi.bg",https://www.imot.bg/obiava-1b176909463699703-prodava-dvustaen-apartament-grad-sofiya-zona-b-5
Зона Б,2,133300,76,2,14,0,0,0,0,Тухла,2027,1,0,"Без комисиона за купувача Представяме двустаен апартамент с непосредствен изглед към Владайска река, разположен в луксозната сграда RIVERSIDE, отличаваща се с модерна архитектура, внимание към детайла и висок клас материали. Апартаментът осигурява усещане за простор и светлина благодарение на високите френски прозорци, които осигуряват максимално естествено осветление и визуална връзка с околното пространство. Застроена площ: 75,58 кв.м Разпределение: просторна дневна с кухненски бокс и трапезария, слънчева спалня, модерна баня, балкон Отопление: ТЕЦ Дограма: висок клас REHAU Паркиране: възможност за закупуване или наем на гараж/паркомясто Такса поддръжка: определя се на Общо събрание на собствениците Цена: крайна, без начисляване на ДДС Предлага се възможност за висококачествено довършване по индивидуален дизайнерски проект, изпълнен от строителя. Адрес: бул. Инж. Иван Иванов 56 Престижна локация с удобства на пешеходно разстояние до: Mall of Sofia 10 минути Метростанция Опълченска 6 минути ЦУМ 15 минути Парк Възраждане 11 минути УМБАЛ Пирогов 14 минути Детски градини и училища 12 минути Централна поща 14 минути Театър София 12 минути Комбинацията от тиха среда до река и отлична градска инфраструктура прави жилището еднакво подходящо за лично ползване и за инвестиционни цели. Инвестиционна стойност Проектът RIVERSIDE предлага ограничен брой жилища, модерна визия и премиум строителство. Това осигурява висока ликвидност, устойчиво търсене и отлична възвръщаемост при бъдеща продажба или отдаване под наем. Контакти: ЛИНЕРА ООД www.riverside56.bg Тел.: 0885 327 833 Тел.: 0887 211 390 Тел.: 0886 772 221",https://www.imot.bg/obiava-1b176406197723408-prodava-dvustaen-apartament-grad-sofiya-zona-b-19-bul-ivan-ivanov
Кръстова вада,2,192044,80,2,3,0,0,0,0,Тухла,2026,1,0,"АRCO REAL ESTATE предлага за продажба 2-стаен апартамент,в новострояща се малка бутикова сграда в кв.Кръстова вада НОВО СТРОИТЕЛСТВО. Подходящ, както за живеене, така и за ИНВЕСТИЦИЯ. 2-стаен апаратмент Общи части 80,02 кв,м.;71,07 кв.м чиста площ Етаж-2 Изложение-ЮГ с глeдка към Витоша Разпределение Спалня - 18,04кв.м; Баня 3,18кв.м Антре 5,09кв.м Дневна с кухненски бокс - 28,95кв.м Тераса-6,64кв.м Възможност за закупуване на гараж 29214 евро с ДДС Площ гараж чиста 18,57 кв,м с общи 29,21 кв,м Етап разрешение за строеж Акт 14 до пролетта на 2026 на годината Завършване до 24 месеца Схема на плащане 30/30/30/10 20/50/20/10. 20/60/10/10. за 50% на предварителен - 5% отстъпка в крайната цена за 60% на предварителен - 6% отстъпка в крайната цена Отопление-ток Ниско засрояване пред сградата до 7 метра До бъдещо училище Технически характеристики Фасадна облицовка от високоякостен клинкер съгласно визуализациите Тухли-Винебергер Дограма-Дограма алуминиева с прекъснат термомост, тройни стъклопакети енергиен клас А Врати-Блиндирани, с метална конструкция, противовзломни патрони, две независими заключвания, клас Солид Асансьор -Без машинно помещение, енергоспестяващ, тих и просторен, с детайли от неръждаема стомана, под гранитогрес, с една огледална стена. Отговаряш на всички изисквания за достъпна среда. Клас Орона, с всички сертификати. Общи части-Настилка от гранитогрес, метални парапети на стълбищата, лед осветление с фотоклетки, видеонаблюдение, входни врати с чип Допълнителни опции по желание на клиентите Апартаментна газова инсталация Газов Котел с бойлер Подово отопление Силикатна подова замазка за подово отопление Термопомпа въздух вода Ако мечтаете за жилище в динамичен и удобен район, с двор който сме включили в цената, този имот е идеалното предложение за вас! Апартаментът е разположен в нова бутикова сграда на 3 етажа с общо 20 апартамента. Включва светла и просторна дневна с кухненски бокс, както и голяма спалня с гардеробна, Местоположение: в динамично развиващия се квартал Кръстова вада . Комплексът е с комуникативно местоположение, близо до бул. Черни връх и Околовръстното шосе, на 10 минути пешеходно разстояние от метростанция Витоша и Paradise Mall. В района има всички удобства като магазини и супермаркети, училища и детски градини, спирки на градски транспорт, удобства за спорт и отдих. Агенцията работи по изискванията на БДС EN 15733. Предлагаме съдействие за довършителни дейности при желание на новите собственици, безплатно ипотечно кредетиране и изготвяне на пазарна оценка на имота Водещ брокер на офертата Анна Гюрова 0884254106",https://www.imot.bg/obiava-1b176371120945361-prodava-dvustaen-apartament-grad-sofiya-krastova-vada
Кръстова вада,2,189412,65,4,6,0,0,1,0,Тухла,2027,1,1,"SOUTH END 3 Етап 3, Сгради 4 и 5 Две свободностоящи жилищни сгради с общо 76 апартамента от двустайни до четиристайни, включително партерни жилища със собствени дворчета и апартаменти с уникални покривни тераси. Парцелът е 2863 кв.м с озеленени пространства, места за отдих и детска площадка. Сградите са със стартирало строителство, концепция за затворен комплекс, но без такса поддръжка. Сградите са разположени в най-предпочитания и бързо развиващ се квартал на София, в непосредствена близост до метростанция Витоша , бъдеща метростанция, автобусна спирка, Paradise Center, Южен парк, хипермаркети Фантастико и Лидъл , с удобен достъп до центъра на града. Качество и комфорт: Сградата се изгражда по най-високи стандарти, с подбрани материали и доказани партньори. Фасада: модерна комбинация от мазилка и вентилируема система Отопление: подово отопление на газ и изводи за климатици тип сплит система Стартирало строителство в най-предпочитания и бързо развиващ се квартал Богато озеленено дворно пространство с места за отдих и детска площадка Разнообразие от апартаменти от дворни жилища до пентхауси с покривни тераси Модерна фасада и висококачествени материали Подово отопление на газ и подготовка за климатици сплит система Без такса поддръжка Обади се сега и цитирай този код 669271",https://www.imot.bg/obiava-1b176158321266880-prodava-dvustaen-apartament-grad-sofiya-krastova-vada
Красна поляна 2,2,170000,65,4,8,0,0,0,0,Тухла,1970,1,0,Класически двустаен апартамент в отлична ТУХЛЕНА сграда. Намира се близо до пазара 'Красна поляна'. Предимно южно и западно изложение. Добре подържан вход и подържана сграда. В непосредствена близост училища и детски градини. За повече информация и огледи - К. Костов - 0887 454 991,https://www.imot.bg/obiava-1b176771427943460-prodava-dvustaen-apartament-grad-sofiya-krasna-polyana-2
Кръстова вада,2,200000,63,4,5,0,0,1,0,Тухла,2026,1,0,"LUXIMMO FINEST ESTATES: www.luximmo.bg ПРЕД АКТ 15! Представяме Ви модерна жилищна сграда в кв. Манастирски ливади Изток, разположена в една от преките на ул. Тодор Джебаров. Проектът се отличава с висок клас изпълнение, дизайнерски общи части и отлична локация, съчетаваща спокойствие и бърз достъп до ключови пътни артерии. Конкретната оферта е за ПРОМОЦИОНАЛЕН апартамент #36, двустаен, находящ се на четвърти етаж и разпределен между входно антре, просторна всекидневна с кухненски бокс, спалня, баня с тоалетна, балкон и антре и обща площ от 63,15 м2. Етап на строителство: АКТ 14 наличен; АКТ 15 май 2026 г.; АКТ 16 август 2026 г. Основни параметри: Общ брой апартаменти: 52; Свободни апартаменти: 17; Общи части: Общите пространства са изпълнени по индивидуален дизайнерски проект и впечатляват с висококачествени материали и внимание към детайла: настилки от естествен камък, декоративни мазилки, ламперия и тапети, скрито осветление, което подчертава материалите и създава спокойна и ексклузивна атмосфера; Фасада- Сградата разполага с високоефективна и отличаваща се фасада, реализирана в комбинация от: минерална мазилка, еталбонд, вентилируема фасада с керамични, плоскости. Асансьор- 8-местен асансьор ORONA от испански производител- тиха работа, висока надеждност и отлична енергийна ефективност; Дограма: Rehau дограма с 8 камери и троен стъклопакет- отлична топло- и шумоизолация, френски прозорци за максимално естествено осветление и елегантен дизайн; Климатизация и отопление: индивидуално изградена инсталация за скриване на външните тела на климатиците с осигурен достъп за обслужване, отопление на газ и климатици. За инвеститора: Инвеститор с доказан опит и мащабно портфолио от успешно реализирани проекти: построено РЗП: над 163 000 кв.м; РЗП в строеж: 177 000 кв.м; апартаменти с АКТ 16: 1 400; апартаменти в строеж: 1 500; най-голям реализиран проект: 62 000 кв.м; ... За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. Референтен номер: Kbs 137275 Тел: 0988 170 858, 02 454 12 72 Отговорен брокер:Димитър Гавазов Без комисиона от купувача",https://www.imot.bg/obiava-1b176890320273600-prodava-dvustaen-apartament-grad-sofiya-krastova-vada
Изток,2,135000,28,1,5,1,0,0,0,Панел,0,1,0,"Компания ЕКС представя на Вашето внимание двустаен апартамент в жк. Изток. МЕСТОПОЛОЖЕНИЕ: На метри от метростанция, спирка на градски транспорт, магазини от всякакъв тип и всичко най- необходимо. СТРОИТЕЛСТВО: Апартаментът е ситуиран на сутерен в тухлена сграда. РАЗПРЕДЕЛЕНИЕ: Жилището разполага с чиста жилищна площ от 28 кв.м. разпределена във входно антре, дневна с кухненски бокс и спален кът и отделно баня с тоалетна. СЪСТОЯНИЕ: НЕОБЗАВЕДЕН. Заповядайте да Ви го покажем. Използвайки нашите услуги Вие ще превърнете закупуването на новия си дом в едно приятно изживяване, ще получите персонален консултант, съдействие при кандидатстване за кредит от всички банки в България, интериорни дизайнери и екип, който да се погрижи за нужните документи по Вашата сделка. На Ваше разположение сме всеки ден, от понеделник до неделя от 09:00 до 20:00ч. Възползвайте се от безплатна консултация в наш офис, където ще ви спестим време и ще ви запознаем с всички актуални имоти в България, отговарящи на Вашето търсене. Свържете се с нас на 0887 77 99 90 или на 0886 12 12 57 и цитирайте кода към имота: 97636.",https://www.imot.bg/obiava-1b176915718194679-prodava-dvustaen-apartament-grad-sofiya-iztok
Кръстова вада,2,152847,65,2,6,0,0,1,0,Тухла,2027,1,0,"Цена без ДДС! Представяме на Вашето внимание двустаен апартамент в луксозна, функционална и екологична жилищна сграда, ситуирана в Южната част на град София. Локацията е изключително комуникативна с осигурен бърз достъп, както до административната част на града, така и до редица културни, спортни и обществени зони. Комплексът е хармонично вписан между парк Витоша и градската среда на столицата. Поддръжката ще се осигурява от професионална компания, отговаряща за цялостния процес по почистване на общи части и фоайета, асансьори, озеленяване и аранжиране на парковата среда, сметоизвозване и снегопочистване. Сигурност - физическа охрана и видеонаблюдение. Ще бъде изградена съвременна и модерна детска площадка в безопасна среда без автомобили. Открит екстериорен фитнес в комплекса- мултифункционална станция, която ще предлага изключително разнообразие от упражнения. Паркирането е решено на две нива- подземно и полуподземно ниво, като има възможност за избор на единични или двойни гаражи и паркоместа. Етап на строителство: Разрешение за строеж",https://www.imot.bg/obiava-1b175983057285525-prodava-dvustaen-apartament-grad-sofiya-krastova-vada
Красна поляна 1,2,129900,65,7,8,0,0,0,0,Панел,1980,1,0,"Двустаен апартамент в панелен блок от 80-те, на хубаво място в квартала, близо до БИЛА, 123 СУ и храма Възкресение Христово. Състои се от хол, спалня кухня, баня с тоалетна и два балкона. Апартаментът е за запазаен, но за ремонт. Централен ТЕЦ.",https://www.imot.bg/obiava-1b176277496887157-prodava-dvustaen-apartament-grad-sofiya-krasna-polyana-1-ul-prof-vaygand
Красно село,2,148999,50,1,5,1,0,0,0,Панел,1980,1,0,"Продава се двустаен апартаментна на първи етаж, източно изложени с удобен достъп до центъра, градски транспорт (трамвай, автобус, метростанция Красно село ), паркове, училища и магазини. Етаж: 1-ви жилищен (над партер) Площ: 50 кв. Изложение: Изток апартаментът е светъл и топъл сутрин Разпределение: Входно антре Всекидневна Кухня Баня с тоалетна Тераса Отговорен брокер: Евгения Христова",https://www.imot.bg/obiava-1b175923417524129-prodava-dvustaen-apartament-grad-sofiya-krasno-selo
Карпузица,2,183000,61,3,6,0,0,0,0,Тухла,2016,1,0,"Продава напълно обзаведен двустаен апартамент /югозапад/в един от най-тихите и спокойни райони на София, кв. Карпузица. Имотът е с площ от 61 кв.м., като представлява входно антре, дневна с кухненски бокс, спалня, баня с тоалетна и една тераса. Отоплението е на ток, като има и поставен климатик. Сградата е тухлена от 2016 година, с асансьор. Общите части са в отлично състояние, а апартаментът е светъл и приятен. Продава се с цялото налично оборудване . Около сградата има много зеленина. В района има училища, детски градини,хранителни магазини . Кварталът е с ниско етажно застрояване, чист въздух, обширна паркова зона и прекрасна панорама към Витоша. Находящ се в непосредствена близост до борова гора и екопътеки. На 100 метра от спирки на градски транспорт и бул. Цар Борис III. Княжевска Екопътека и ресторант Бор и шишарка.Локацията съчетава удобство и спокойствие, в район, застроен предимно с еднофамилни къщи. - Спирка на трамвай 5 обръщало- 7мин. - Детска градина Бор - 2 мин. - Лидл - 5мин. - Търговски център Княжево- 6 мин. - Квартален магазин- 1мин. - Екопътека 4мин.Княжевска Екопътека и Ресторант Бор и Шишарка -13мин,",https://www.imot.bg/obiava-1b176390088153066-prodava-dvustaen-apartament-grad-sofiya-karpuzitsa-ul-dobrovolets
Кръстова вада,2,181500,73,2,5,0,0,0,0,Тухла,2027,1,0,"LUXIMMO FINEST ESTATES: www.luximmo.bg Екслузивно представяме за продажба апартамент в модерна градска резиденция с отличителен дизайн разположена в престижната южна част на София. Тя съчетава елегантна архитектура, премиум материали и съвременни технологии. Сградата се намира в престижната южна част на столицата в непосредствена близост до Зоологическата градина, само на 950 м от Paradise Center и метростанция Витоша . Разположена на тиха вътрешна улица, сградата осигурява уединение и сигурност, съчетани с бърза връзка през новия булевард Филип Кутев към бул. Черни връх и Симеоновско шосе. Районът съчетава тишина, отлична инфраструктура и бърз достъп до ключови точки на града. Апартаментът е ситуиран на втори етаж и има обща площ 73.23 кв.м и има следното разпределение: коридор; всекидневна с кухня и кът за хранене, спалня; баня с тоалетна; лоджия. Сградата е с пет надземни етажа и един подземен. На подземния са разположени гаражи, паркоместа и мазета. На останалите пет жилищни етажа са разположени 14 апартамента от тип двустайни, тристайни и четиристайни. Имотите съчетават светли пространства, изчистени форми и усещане за спокойствие всичко е проектирано с внимание към детайла и с мисъл за онези, които ценят качеството и модерния начин на живот. Иновативна концепция, съчетаваща модерна архитектура, връзка с природата и новите технологии. Модерно и качествено строителство, много висок стандарт на качество на използваните материали. Технически характеристики: Енергиен клас А - Сградата е проектирана с висока енергийна ефективност, осигуряваща ниско енергопотребление и оптимални разходи за отопление и охлаждане за по-устойчив и комфортен начин на живот. Фотоволтаична система - Изградена система за захранване на общите ... Цената на имота е 181 500 евро / 354 983.15 лв. без ДДС или 217 800 евро / 425 979.77 лв. с ДДС. Данъчен кредит може да се ползва при определени условия. За повече информация свържете се с нас и цитирайте референтния номер на имота. Моля, кажете, че сте видeли обявата в този сайт. Референтен номер: AP 133690 Тел: 0988 154 590, 02 451 47 82 Отговорен брокер:Преслава Мизинова Без комисиона от купувача",https://www.imot.bg/obiava-1b175568043806535-prodava-dvustaen-apartament-grad-sofiya-krastova-vada
