District,Rooms,Price,Area,Floor_Number,Total_Floors,Is_First_Floor,Is_Last_Floor,Has_Gas,Has_Tec,Construction_Type,Construction_Year,Has_Garage,Is_Closed_Complex,Description,Url
Манастирски ливади,0,585000,251,0,0,1,1,1,0,Тухла,2006,1,0,"Обектът е разположен в административно жилищен комплекс 'Бокар', който е с бърз и лесен достъп до центъра на столицата по ключовия бул. 'България'. Комплексът включва отделни сгради тип 'градска къща'. Всички сгради имат по два калкана. От комплекса се разкрива панорама към красивите склонове на Витоша. Сградата представлява, по документ за собственост, еднофамилна жилищна сграда - обект 19А с РЗП 251,30 кв.м. с гараж и двор - тераса с площ от 27,90 кв.м. За сградата е издадено УВЕ от март 2006 г. Конструкцията на сградата е стоманобетонна, монолитна, скелетна. Покривната конструкция също е решена като стоманобетонна плоча. Фасадата на сградата е с мазилка, дограмата на сградата е PVC. Отоплението е на газ чрез изградена инсталация с индивидуално отчитане и допълнително на ток - с монтирани климатици.Довършителните работи към датата на огледа са следните: подови покрития с теракот и ламинат, стени и тавани с латекс; санитарни помещения - подово покритие с теракот, стени с фаянс и таван с латекс.Обектът е в отлично експлоатационно състояние. Има възможност и за закупуване на съседната сграда, представляваща офисна сграда с РЗП 560 м2 - цена 975 000 евро без ДДС.",https://www.imot.bg/obiava-1j176552437350307-prodava-kashta-grad-sofiya-manastirski-livadi
Люлин 5,1,125000,44,5,7,0,0,0,0,Панел,1970,1,0,"Агенция Парт-С представя на Вашето внимание едностаен апартамент, на улица Мичман Димитър Светогорски в ж. к. Люлин 5. Имотът е с обща площ от 44.12 кв. м без тераси и мазе и е идеален за живеене или за инвестиция. ЖИЛИЩЕ: - Апартаментът е обзаведен и готов за нанасяне, с модерен интериор и уютна атмосфера. - Състои се от дневна със спален кът, самостоятелна кухня, баня с тоалетна и коридор. - Последно реновиран през 2025 година, имотът предлага съвременни удобства и комфорт. Изградени са както външна изолация на целия имот, така и шумо и топло изолация на тавана в дневната, дограмата е качествена ПВЦ дограма, със стъклопакет който отблъсква част от силното слънце през лятото, но пропуска цялото зимно слънце. - Изложението на апартамента е източно, което осигурява много естествена светлина през целия ден. ОТОПЛЕНИЕ: - Сградата разполага с централно парно, допълнително е монтиран нов инверторен климатик, което осигурява комфорт и ниски сметки през всички сезони. ДОПЪЛНИТЕЛНИ УДОБСТВА: - В сградата има асансьор, което улеснява достъпа до апартамента. - Има избено помещение, което предоставя допълнително пространство за съхранение. - Налични паркоместа около сградата, което е голямо предимство в градска среда. - По партидата на имота няма тежести и е напълно подходящ за покупка чрез собствени средства и ипотечен кредит. За повече информация и организиране на оглед, свържете се с нас и цитирайте код 7421! Вашият нов дом Ви очаква! Работим с колеги, които работят с колеги!",https://www.imot.bg/obiava-1a176872400110903-prodava-ednostaen-apartament-grad-sofiya-lyulin-5
Малинова долина,1,115000,40,1,6,1,0,0,0,Тухла,0,1,0,"459449 Нови апартаменти в кв. Малинова долина, с атрактивна схема на плащане, от утвърден инвеститор. Мирела предлага 1-СТАЕН апартамент с дворна тераса в нова жилищна сграда в кв. Малинова долина с бърз и лесен достъп до Околовръстен път, посредством новото продължение на ул. Проф. Живко Сталев. Сградата се намира на пешеходно разстояние от Национална спортна академия, 190-та ЦДГ и множество магазини. Разпределение: едно общо помещение, баня с тоалетна, склад и прилежаща към апартамента дворна тераса с площ от 8.04 кв. м. За повече информация, не се колебайте да се свържете с водещия консултант-продажби. Има 1 балкон/тераса; Непреходен; ВИД СТРОИТЕЛСТВО: стоманобетонна конструкция; ЗАСТРОЕНА ПЛОЩ 33.32 кв.м; ИЗЛОЖЕНИЕ: изток, север; СПАЛНИ: няма отделна спалня; БАНИ: 1; ДОГРАМА: PVC _________________________________________________________________________________________________ Към потенциалните продавачи! Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място. ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ. МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА.",https://www.imot.bg/obiava-1a176884339076456-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Борово,1,163000,50,6,6,0,1,0,0,Тухла,2005,1,0,"Обзаведено жилище в съвременна сграда от 2005 година; Състои се от Г-образна стая на ламинат, обособен кухненски бокс с вградени кухненски шкафове с бяла техника, спален кът със спалня, североизточна голяма тераса, антре на теракота с вграден гардероб по цялата дължина, баня с тоалетна - заедно на фаянс и теракота, прилежащо МАЗЕ-3,61 кв.м.; Имотът е със статут на АТЕЛИЕ; Сградата е в тихата част на квартала има отлична локация - в близост до пазара на Борово, спирки на градски транспорт, бърз достъп до основните артерии на града - бул.България, бул.Цар Борис III; Уютно и светло жилище, подходящо е и за покупка с цел отдаване под наем;",https://www.imot.bg/obiava-1a176276279674731-prodava-ednostaen-apartament-grad-sofiya-borovo-ul-sveta-marina
Лозенец,3,452900,100,1,5,1,0,0,0,Тухла,1960,1,0,"УНИКАЛНА ИНВЕСТИЦИОННА ОФЕРТА В ЛОЗЕНЕЦ 2 САМОСТОЯТЕЛНИ АПАРТАМЕНТА С ДЕЙСТВАЩ AIRBNB БИЗНЕС Предлагаме за продажба просторен апартамент, функционално разделен на два напълно самостоятелни апартамента, разположен на изключително престижна локация в кв. Лозенец, в непосредствена близост до хотел Хемус, НДК и метростанция Европейски съюз . Имотът е прясно ремонтиран, напълно обзаведен и се продава с работещ Airbnb бизнес, с почти пълна месечна заетост и отлична доходност. Готов е за експлоатация веднага, без необходимост от допълнителни инвестиции. Характеристики на имота: Реално обособени два самостоятелни апартамента Две напълно оборудвани кухни Две бани с тоалетни Висок клас електроуреди Две перални и две отделни сушилни Качествено и стилно обзавеждане Допълнителни помещения: Мазе 8 кв.м Таванско помещение 6 кв.м Локация: Имотът се намира на пешеходно разстояние от метростанция Европейски съюз , НДК, Южен парк, хотел Хемус, основни булеварди, множество магазини, заведения и офис зони. Отлична транспортна и пешеходна свързаност. Подходящ за: Инвеститори, търсещи готов и доказано работещ имот за краткосрочно отдаване Купувачи, които желаят максимална възвръщаемост на вложените средства Комбинация от лично ползване и доход от наем",https://www.imot.bg/obiava-1c176668070298101-prodava-tristaen-apartament-grad-sofiya-lozenets
Малинова долина,1,73000,32,2,4,0,0,0,0,Тухла,2027,1,0,"ДИРЕКТНО ОТ ИНВЕСТИТОР НА 'ETERNAL' IV /без комисионна/ - нов, жилищен комплекс, в обособяващ се, предпочитан за живеене район, в близост до РИНГ МОЛ, до изграждащия се нов ритейл парк, с търговски и офис площи, хипермаркети. Зона с ограничени градоустройствени параметри - ниско застрояване до 4 етажа, нова инфраструктура, перспективен, развиващ се район. Софбултрейд, напредва в строителството на 4-ти обект в кв. Малинова долина. Акт 14 - началото на 26г., завършване на комплекса края на 27г. Проекта представлява терен с площ от 15053кв.м., с предвидено богато озеленяване, алеи, кътове за отдих, детски площадки, спорт, място и среда за спокоен живот в хармония с природата, дори и в градската среда, в подножието на Витоша. Качествено строителство, уединение и спокойствие на едно място. Сгради с изчистен дизайн, проектирани функционални 1-ст. - 35-51кв.м., 2-ст. апартаменти с площ от 65-80кв.м. и 3-ст. апартаменти от 100 - 105кв.м. Партерните апартаменти. с обособени индивидуални дворни пространства. Без промяна в цената на до края на строителството - вписано в договор. Няма наложена такса за поддръжка на комплекса, ще се решава от бъдещите собственици. Панорамни, слънчеви апартаменти с благоприятно разположение преобладаващо изложение юг, изток и запад. Локация: в близост до Околовръстен път, лесен достъп до ключови локации, комфорт и удобства. За допълнителна информация отдел продажби (директно от инвеститор) - 0899800300 / 0897 800 300 за арх. разпределения и ценова листа, запитване на e-mail: [email protected] * в сайта на Софбултрейд може да се разгледат изпълнените сгради с Раз-е за ползаване- ETERNAL I и II, с цел обща представа, близка като визия с новия комплекс - ETERNAL IV.",https://www.imot.bg/obiava-1a176344065645001-prodava-ednostaen-apartament-grad-sofiya-malinova-dolina
Левски Г,1,151400,69,3,7,0,0,0,0,Тухла,2029,1,0,"МиС Билд, строително и инвестиционно дружество, предлага за закупуване голямо студио/едностаен апартамент в новострояща се жилищна сграда в кв. Левски Зона Г. Разпределение: със застроена площ от 59,5 кв.м. студиото предлага всички условия за постоянно живеене, както и чудесен вариант за инвестиция. Състои се от: входно антре, склад, голяма баня с тоалетна, голяма отворена зона с кухненски бокс, кът за спане и дневна зона, тераса. Изложение ЗАПАД. Цената се отнася само за конкретното жилище. За всякакви въпроси може да се свържете с нас на посочените телефони.",https://www.imot.bg/obiava-1a176916093559927-prodava-ednostaen-apartament-grad-sofiya-levski-g
Банишора,1,114999,48,5,5,0,1,0,0,Тухла,2017,1,0,"НА ПЕШОХОДНО РАЗСТОЯНИЕ ОТ МОЛ-СОФИЯ !!! ПАНОРАМА !!! Представяме на вашето внимание едностаен апартамент с статут на ателие в ж.к.Банишора, със западно изложение и следното функционално разпределение: еднопространствено помещение с кухненски кът и излаз на просторна тераса с панорамна гледка и баня с тоалетна. Имота е с квадратура от 48кв.м от които 23 кв.м тераса. Сградата се намира на комуникативно място на 15 минути пешоходно разстояние от метростанция 'Сердика', както и от всички удобства на центъра. За оглед се обади и цитирай този код 142588",https://www.imot.bg/obiava-1a176838312998012-prodava-ednostaen-apartament-grad-sofiya-banishora
Лозенец,1,234900,50,2,6,0,0,1,0,Тухла,2010,1,0,"'АСГАРД ПРОПЪРТИС' продава луксозно ремонтиран, напълно обзаведен апартамент, разположен на втори етаж в нова сграда на метри от Южния парк и Paradise Mall. Жилището е с чиста площ 50 кв.м. и се състои от еднопространствено помещение с обособена кухненска част и хол, работен кът, баня с тоалетна и голяма зимна градина с кът за почивка и трапезарна част. Практични интериорни решениям, висок клас обзавеждане. Прекрасен имот в отлично уреден район с множество магазини, заведения, парк... Метростанция на 100 метра. Отоплението е на газ климатик. За контакти: 0899/032-036, 02/465-19-50.",https://www.imot.bg/obiava-1a176294551327342-prodava-ednostaen-apartament-grad-sofiya-lozenets
Лозенец,3,319000,80,6,8,0,0,0,0,Тухла,1980,1,0,"ВИДЕО В ОБЯВАТА Продава се обзаведен и ремонтиран 3 ст. апартамент в бл.34 в Лозенец на ул.Персенк 22 - пешеходно разстояние от метро станция Д.Баучер. В блока има суперкаркет, а пред блока и терасата има парк и панорамна гледка над парка към планината. Етаж 6 от 8 в тухлена добре поддържана сграда - Югоизток и Северозапад като изложения. Сградата се отоплява на ТЕЦ, входът е ремонтиран и с нова входна врата. Към имота има налично голямо мазе. Апартаментът се състои от широк коридор, две стаи, баня с тоалетна, дневна с кухненски бокс и две тераси мазе. Общата площ е 80м2 с ползваема Жилищна площ 75м2 с терасите. По нотариален акт са 60,3м2 - в които не са включени двете тераси. Входната врата е от фирма SOLID, в интериора е ползван висок клас италиански гранитогрес в комбинация с естествен камък травертин силвър и най-висок клас паркет с висок клас интериорни врати от Полша изработени от плътен МДФ с отлични шумоизолационни свойства. Акцент в жилището е изобилието от слънчева светлина, панорамата към планината и състоянието готово за нанасяне. Връзка към видеото: https://youtu.be/TB0gW2m07Fk Връзка към всички снимки: https://drive.google.com/drive/folders/1a8_pE2ZSVxJPIHiHb6nEPRJusm_ubzlf?uspdrive_link При интерес, моля, обадете се на 0882 74 75 74 Грета Марчева",https://www.imot.bg/obiava-1c176919285666379-prodava-tristaen-apartament-grad-sofiya-lozenets-ul-persenk
Дружба 2,1,82000,36,3,6,0,0,0,0,Тухла,2027,1,0,"За допълнителна информация: https://www.tobo-vodenica.bg/. За агенции: комисионна в размер на 1,5%. Съдействие за получаване на кредит.",https://www.imot.bg/obiava-1a176821063270268-prodava-ednostaen-apartament-grad-sofiya-druzhba-2-ul-deliyska-vodenitsa
Обеля 2,3,169000,75,4,8,0,0,0,0,Панел,0,1,0,"Просторен и топъл апартамент, състоящ се от хол с кухненска част,две спални, коридор и баня с тоалетна. Всяко помещение е самостоятелно - без преход. Алуминиевата дограма, добрата изолация - външна и вътрешна и вътрешното разположение, осигуряват ниски разходи за отопление. Жилището се предлага с наличното обзавеждане. По нотариален акт площта е 60.32 кв.м., без да са включени усвоените големи балкони, с които чистата застроена площ, без прилежащите общи части е приблизително 75 кв.м. Към имота има и избено помещение - 2.34 кв.м.Блокът е строен 1990 г. по немска технология. В момента входът е населен с млади семейства, които организират обновяване на общите части. Пред блока има паркинг. На крачка са малки квартални магазинчета и в близост Била, Лидл, Кауфланд, автобусни спирки, метростанция и др. Собствениците имат интересно предложение - биха искали да останат до края на годината, като ще предплатят авансово за целия период стойността на договорения наем. Разбира се, че това не е задължително условие и онези от Вас, които желаят бързо настаняване ще го получат. Осигуряваме снабдяване с всички необходими документи и безплатни консултации относно най-изгодните условия за кредитиране, както и проучване на сделката като инвестиция. Моля, запознайте се със снимковия материал и позвънете на тел.: 0888211800, 0888242444",https://www.imot.bg/obiava-1c176917638303220-prodava-tristaen-apartament-grad-sofiya-obelya-2-ul-iliya-georgov
